player,birthday,yrs,from,to,pos
Ralph Giacomarro,1961-01-17,4,1983,1987,P
Andy Gibler,1961-04-30,1,1983,1983,TE
Ernest Gibson,1961-10-03,6,1984,1989,DB
Gale Gilbert,1961-12-20,6,1985,1995,QB
Willie Gillespie,1961-10-24,2,1986,1987,WR
Brian Glasgow,1961-06-09,1,1987,1987,TE
Willard Goff,1961-10-17,2,1985,1987,DT
Norm Granger,1961-09-14,2,1984,1987,RB
Otis Grant,1961-08-13,3,1983,1987,WR
Mel Gray,1961-03-16,12,1986,1997,RB-WR
Danny Greene,1961-12-26,1,1985,1985,WR
Mike Green,1961-06-29,3,1983,1985,LB
James Griffin,1961-09-07,7,1983,1989,DB
Keith Griffin,1961-10-26,5,1984,1988,RB
Al Gross,1961-01-04,5,1983,1987,DB
Darrell Grymes,1961-12-04,1,1987,1987,WR
Michael Gunter,1961-02-18,1,1984,1984,RB
Jim Gustafson,1961-03-16,4,1986,1989,WR
Keith Guthrie,1961-08-17,1,1984,1984,NT
Michael Haddix,1961-12-27,8,1983,1990,RB
Rickey Hagood,1961-04-24,1,1984,1984,NT
John Haines,1961-12-16,2,1984,1986,NT-DE-DT
Ali Haji-Sheikh,1961-01-11,5,1983,1987,K
Darryl Haley,1961-02-16,6,1982,1988,T-G
Dean Hamel,1961-07-07,6,1985,1990,DT
Steve Hamilton,1961-09-28,4,1985,1988,DE-DT
Bruce Hansen,1961-09-18,1,1987,1987,RB
Andre Hardy,1961-11-28,3,1984,1987,RB
Mike Harmon,1961-07-24,1,1983,1983,WR
Mark Harper,1961-11-05,5,1986,1990,DB
Michael Harper,1961-05-11,4,1986,1989,WR
Chuck Harris,1961-10-07,1,1987,1987,T
Herbert Harris,1961-05-04,2,1986,1987,WR
Roy Harris,1961-03-26,3,1984,1987,DE-DT
Tim Harris,1961-06-15,1,1983,1983,RB
Vic Harrison,1961-02-09,1,1987,1987,WR
Steve Haworth,1961-09-16,2,1983,1984,DB
Herman Heard,1961-11-24,6,1984,1989,RB
Andy Hendel,1961-03-04,1,1986,1986,LB
Wymon Henderson,1961-12-15,8,1987,1994,DB
Matt Hernandez,1961-10-16,2,1983,1984,T
Greg Hill,1961-02-12,6,1983,1988,DB
Chris Hinton,1961-07-31,13,1983,1995,T-G
Milford Hodge,1961-03-11,4,1986,1989,DE-NT
Gary Hoffman,1961-09-28,2,1984,1987,T
D.D. Hoggard,1961-05-20,3,1985,1987,DB
Mike Hohensee,1961-02-22,1,1987,1987,QB
Derek Holloway,1961-01-17,2,1986,1987,WR
Shawn Hollingsworth,1961-12-04,1,1983,1983,T
Don Holmes,1961-04-01,5,1986,1990,WR
Todd Hons,1961-09-05,1,1987,1987,QB
Trell Hooper,1961-12-22,1,1987,1987,DB
Wes Hopkins,1961-09-26,10,1983,1993,DB
Jeff Hostetler,1961-04-22,12,1985,1997,QB
Carl Howard,1961-09-20,7,1984,1990,DB
David Howard,1961-12-08,8,1985,1992,RLB
Glen Howe,1961-10-18,2,1985,1986,T
Kent Hull,1961-01-13,11,1986,1996,C
Bobby Humphery,1961-08-23,7,1984,1990,DB-WR
Donnie Humphrey,1961-04-20,3,1984,1986,NT-DE
Ricky Hunley,1961-11-11,7,1984,1990,RILB
Herman Hunter,1961-02-14,3,1985,1987,RB
Anthony Hutchison,1961-02-04,3,1983,1985,RB
Jeff Jackson,1961-10-09,4,1984,1988,LILB
Van Jakes,1961-05-10,6,1983,1989,DB
Craig James,1961-01-02,5,1984,1988,RB
John Janata,1961-04-10,1,1983,1983,T
Jim Jeffcoat,1961-04-01,15,1983,1997,DE
Keyvan Jenkins,1961-01-06,2,1987,1988,RB
Dwayne Jiles,1961-11-23,5,1985,1989,RLB
Bobby Johnson,1961-12-14,3,1984,1986,WR
Demetrious Johnson,1961-07-21,5,1983,1987,DB
Richard Johnson,1961-10-19,3,1987,1990,WR
Lee Johnson,1961-11-27,18,1985,2002,P
Tim Joiner,1961-01-07,3,1983,1987,LB
Boyd Jones,1961-05-30,1,1984,1984,T
David Jones,1961-10-25,3,1984,1987,G-C
James Jones,1961-03-21,10,1983,1992,FB-RB-TB-TE
Tyrone Jones,1961-08-03,1,1988,1988,LB
Steve Jordan,1961-01-10,13,1982,1994,TE
Trey Junkin,1961-01-23,20,1983,2002,TE-LB
John Kamana,1961-12-03,2,1984,1987,RB
Clarence Kay,1961-07-30,9,1984,1992,TE
Mark Keel,1961-10-01,1,1987,1987,TE
Carl Keever,1961-08-17,1,1987,1987,LB
Doug Kellermeyer,1961-06-01,1,1987,1987,G-T
Perry Kemp,1961-12-31,5,1987,1991,WR
John Kidd,1961-08-22,15,1984,1998,P
Blair Kiel,1961-11-29,6,1984,1991,QB
Don Kindt,1961-03-09,1,1987,1987,TE
Steve Knight,1961-03-13,1,1987,1987,G
Chris Kolodziejski,1961-02-05,1,1984,1984,TE
Rich Kraynak,1961-01-20,5,1983,1987,ROLB
Gary Kubiak,1961-08-15,9,1983,1991,QB/Coach
Sandy LaBeaux,1961-08-22,1,1983,1983,DB
Kevin Lamar,1961-11-29,1,1987,1987,G
Mike Landrum,1961-11-06,1,1984,1984,TE
Garcia Lane,1961-12-31,2,1985,1987,DB
Ben Lawrence,1961-09-19,1,1987,1987,G
Carl Lee,1961-02-06,12,1983,1994,DB
Jeff Leiding,1961-10-28,2,1986,1987,LB
David Lewis,1961-06-08,4,1984,1987,TE
Darryl Lewis,1961-04-16,1,1984,1984,TE
Gary Lewis,1961-01-14,1,1983,1983,NT
Mark Lewis,1961-05-05,4,1985,1988,TE
Tim Lewis,1961-12-18,4,1983,1986,DB/Coach
Dave Little,1961-04-18,8,1984,1991,TE
Bill Lobenstein,1961-05-11,1,1987,1987,DE
Greg Loberg,1961-12-07,1,1987,1987,G-T
Eugene Lockhart,1961-03-08,9,1984,1992,LB
Matt Long,1961-03-16,1,1987,1987,C
Orlando Lowry,1961-08-14,5,1985,1989,LB
Tim Lucas,1961-04-03,7,1987,1993,RILB
Robert Lyles,1961-03-21,8,1984,1991,LB
J.D. Maarleveld,1961-10-24,2,1986,1987,T
Mark MacDonald,1961-04-30,4,1985,1988,G
Kim Mack,1961-10-29,1,1987,1987,DB
Don Maggs,1961-11-01,8,1986,1994,T-G
Pete Mandley,1961-07-29,7,1984,1990,WR
Aaron Manning,1961-08-26,1,1987,1987,DB
Charles Mann,1961-04-12,12,1983,1994,DE
Dan Marino,1961-09-15,17,1983,1999,QB
David Marshall,1961-01-03,2,1984,1987,LB
Leonard Marshall,1961-10-22,12,1983,1994,DE-DT
Eric Martin,1961-11-08,10,1985,1994,WR
Larry Mason,1961-03-21,2,1987,1988,RB
Trevor Matich,1961-10-09,12,1985,1996,C-G-T
Allama Matthews,1961-08-24,3,1983,1985,TE-RB
Bruce Matthews,1961-08-08,19,1983,2001,G-C-T
Frank Mattiace,1961-01-20,1,1987,1987,DE-NT
Vernon Maxwell,1961-10-25,6,1983,1989,LB
Mike McCloskey,1961-02-02,4,1983,1987,TE
Larry McCoy,1961-08-12,2,1984,1987,LB
James McDonald,1961-03-29,4,1983,1987,TE
Paul McFadden,1961-09-24,6,1984,1989,K
Guy McIntyre,1961-02-17,13,1984,1996,G
Vito McKeever,1961-10-08,2,1986,1987,DB
Dennis McKinnon,1961-08-22,7,1983,1990,WR
Sean McNanie,1961-09-09,6,1984,1990,DE
Chuck McSwain,1961-02-21,3,1983,1987,RB
Darryl Meadows,1961-02-15,2,1983,1984,DB
Johnny Meads,1961-06-25,9,1984,1992,LB
Jim Merritts,1961-03-22,1,1987,1987,DE-NT
Sam Merriman,1961-05-05,5,1983,1987,LB
Bo Metcalf,1961-04-18,1,1984,1984,DB
Phil Micech,1961-08-11,1,1987,1987,DE
Kelvin Middleton,1961-09-08,1,1987,1987,DB
Doug Mikolas,1961-06-07,2,1987,1988,NT
Jim Mills,1961-09-23,2,1983,1984,T
Shawn Miller,1961-03-14,6,1984,1989,DE-NT-DT
Michael Mitchell,1961-10-18,2,1987,1989,DB
Rob Monaco,1961-09-05,1,1985,1985,C
Matt Monger,1961-11-15,5,1985,1990,LB
Blanchard Montgomery,1961-02-17,2,1983,1984,LB
Sankar Montoute,1961-02-02,1,1987,1987,LB
Dana Moore,1961-09-07,1,1987,1987,P
Malcolm Moore,1961-06-24,1,1987,1987,WR
Jim Mora,1961-11-19,NA,NA,NA,Coach
Karl Morgan,1961-02-23,3,1984,1986,NT
Jim Bob Morris,1961-05-17,1,1987,1987,DB
Mike Morris,1961-02-22,12,1987,1999,C-G
Randall Morris,1961-04-22,5,1984,1988,RB
Raymond Morris,1961-06-08,1,1987,1987,LB
Don Mosebar,1961-09-11,12,1983,1994,C-T-G
Gary Moten,1961-04-03,2,1983,1987,LB
Steve Mott,1961-03-24,6,1983,1988,C
Zeke Mowatt,1961-03-05,8,1983,1991,TE
Paul Moyer,1961-07-26,7,1983,1989,DB
Mike Mularkey,1961-11-19,9,1983,1991,TE/Coach
Lloyd Mumphrey,1961-02-14,1,1987,1987,DE-LB
Wilbur Myers,1961-08-17,1,1983,1983,DB
Mike Nease,1961-10-30,1,1987,1987,G
Darrell Nelson,1961-10-27,2,1984,1985,TE
Rick Neuheisel,1961-02-07,1,1987,1987,QB/Coach
Tom Neville,1961-09-04,5,1986,1992,G-T
Vince Newsome,1961-01-22,10,1983,1992,DB
Nate Newton,1961-12-20,14,1986,1999,G-T
Frank Nicholson,1961-03-06,1,1987,1987,LB
Terry Nugent,1961-12-05,1,1987,1987,QB
Christian Okoye,1961-08-16,6,1987,1992,RB
Fred Orns,1961-05-24,1,1987,1987,LB
Terry Orr,1961-09-27,8,1986,1993,TE
Vince Osby,1961-07-08,2,1984,1985,LB
Stephone Paige,1961-10-15,9,1983,1991,WR
Jeff Paine,1961-08-19,4,1984,1987,LB
Andy Parker,1961-09-08,7,1984,1990,TE
Mark Pattison,1961-12-13,3,1986,1988,WR
Reno Patterson,1961-04-22,1,1987,1987,NT
Jay Pennison,1961-09-09,5,1986,1990,C
Bobby Petrino,1961-03-10,NA,NA,NA,Coach
Phil Pettey,1961-04-17,1,1987,1987,G
Joe Philbin,1961-07-02,NA,NA,NA,Coach
Clay Pickering,1961-06-02,4,1984,1987,WR
Andrew Provence,1961-03-08,5,1983,1987,DT-DE
Dave Puzzuoli,1961-01-12,5,1983,1987,NT
David Rackley,1961-02-02,1,1985,1985,WR
Wayne Radloff,1961-05-17,5,1985,1989,C-G
Vince Rafferty,1961-08-06,1,1987,1987,C-G
Floyd Raglin,1961-02-10,1,1987,1987,WR
Dan Ralph,1961-03-09,1,1984,1984,DT
Tom Ramsey,1961-07-09,4,1986,1989,QB
Dan Reeder,1961-03-18,2,1986,1987,RB
Ken Reeves,1961-10-04,6,1985,1990,T-G
Frank Reich,1961-12-04,13,1985,1998,QB/Coach
Mike Reichenbach,1961-09-14,8,1984,1991,LB
Johnny Rembert,1961-01-19,10,1983,1992,LB
Ed Reynolds,1961-09-23,10,1983,1992,LILB
Mike Richardson,1961-05-23,7,1983,1989,DB
Tom Richey,1961-06-13,1,1987,1987,T
Lawrence Ricks,1961-06-04,2,1983,1984,RB
Chris Riehm,1961-04-14,3,1986,1988,G-T
Alan Risher,1961-05-06,2,1985,1987,QB
Gabe Rivera,1961-04-07,1,1983,1983,NT
Fred Robinson,1961-10-22,3,1984,1986,ROLB
Tommy Robison,1961-11-17,2,1987,1989,LB
Reggie Roby,1961-07-30,16,1983,1998,P
Jim Rockford,1961-09-05,1,1985,1985,DB
Mark Rodenhauser,1961-06-01,12,1987,1999,C
Mike Rodriguez,1961-12-05,1,1987,1987,LB
Jon Roehlk,1961-06-25,1,1987,1987,G
Tag Rome,1961-08-13,1,1987,1987,WR
Ted Rosnagle,1961-09-29,2,1985,1987,DB
Pete Rostosky,1961-07-29,3,1984,1986,T
Mike Rozier,1961-03-01,7,1985,1991,RB
Pat Saindon,1961-03-03,2,1986,1987,G
Harvey Salem,1961-01-15,10,1983,1992,T-G
Brian Salonen,1961-07-29,2,1984,1985,LB-TE
Clint Sampson,1961-01-04,4,1983,1986,WR
Ron Sams,1961-04-12,2,1983,1984,C-G
Lupe Sanchez,1961-10-28,3,1986,1988,DB
Jesse Sapolu,1961-03-10,13,1983,1997,C-G
Todd Schlopy,1961-06-17,1,1987,1987,K
George Schmitt,1961-03-06,1,1983,1983,DB
Jay Schroeder,1961-06-28,10,1985,1994,QB
Ron Scoggins,1961-08-03,1,1987,1987,T
Chris Scott,1961-12-11,3,1984,1987,DE
Ed Scott,1961-02-15,1,1987,1987,DB
Malcolm Scott,1961-07-10,2,1983,1987,TE
Todd Seabaugh,1961-03-16,1,1984,1984,LB
George Shorthose,1961-12-22,1,1985,1985,WR
Mark Shupe,1961-04-25,1,1987,1987,C
Darryl Sims,1961-07-23,4,1985,1988,DE-NT
Curt Singer,1961-11-04,4,1986,1991,T
Paul Skansi,1961-01-11,9,1983,1991,WR
Tony Slaton,1961-04-12,6,1985,1990,C-G
Billy Ray Smith,1961-08-10,10,1983,1992,LB
Reggie Smith,1961-08-29,1,1987,1987,T
Torin Smith,1961-09-30,1,1987,1987,DE
Brian Sochia,1961-07-02,10,1983,1992,NT-DE
Robert Sowell,1961-06-23,4,1983,1987,DB
Tony Sparano,1961-10-07,NA,NA,NA,Coach
Rich Stachowski,1961-03-29,1,1983,1983,NT
Sylvester Stamps,1961-02-24,6,1984,1989,RB-WR
Stephen Starring,1961-07-30,6,1983,1988,WR
Dean Steinkuhler,1961-01-27,7,1984,1991,T
Hal Stephens,1961-04-14,1,1985,1985,DE
Mike Stoops,1961-12-13,1,1987,1987,DB
Thomas Strauthers,1961-04-06,8,1983,1991,DE-DT
John Sullivan,1961-11-15,2,1986,1987,DB
Don Summers,1961-02-22,3,1984,1987,TE
Paul Sverchek,1961-05-09,1,1984,1984,NT
Johnny Taylor,1961-06-21,4,1984,1987,LLB
Lenny Taylor,1961-02-15,2,1984,1987,WR
Terry Taylor,1961-07-18,12,1984,1995,DB
Jeff Tedford,1961-11-02,NA,NA,NA,Coach
Tom Thayer,1961-08-16,9,1985,1993,G-C
Ben Thomas,1961-07-02,5,1985,1991,DE-NT
Weegie Thompson,1961-03-21,6,1984,1989,WR
Emmett Tilley,1961-02-13,1,1983,1983,LB
Rico Tipton,1961-07-31,1,1987,1987,LB
Casey Tiumalu,1961-06-19,1,1987,1987,RB
Stacey Toran,1961-11-10,5,1984,1988,DB
Greg Townsend,1961-11-03,13,1983,1997,DE-LB-DT-NT
John Trahan,1961-04-19,1,1987,1987,WR
Paul Tripoli,1961-12-14,1,1987,1987,DB
John Tuggle,1961-01-13,1,1983,1983,RB
Daryl Turner,1961-12-15,4,1984,1987,WR
Tim Tyrrell,1961-02-19,6,1984,1989,RB
Elton Veals,1961-03-26,1,1984,1984,RB
Paul Vogel,1961-02-02,1,1987,1987,LB
John Walker,1961-09-12,1,1987,1987,NT-DT
Quentin Walker,1961-08-27,1,1984,1984,RB
Herkie Walls,1961-07-18,4,1983,1987,WR
Dale Walters,1961-06-21,1,1987,1987,P
Curt Warner,1961-03-18,8,1983,1990,RB
Herb Welch,1961-01-12,6,1985,1991,DB
Ed West,1961-08-02,14,1984,1997,TE
Troy West,1961-08-26,1,1987,1987,DB
Craig White,1961-10-08,1,1984,1984,WR
Reggie White,1961-12-19,15,1985,2000,DE-DT
Steve Wilburn,1961-02-25,1,1987,1987,DE
Al Williams,1961-10-05,1,1987,1987,WR
Derwin Williams,1961-05-06,3,1985,1987,WR
Ed Williams,1961-09-08,5,1984,1990,ROLB
Gardner Williams,1961-12-11,1,1984,1984,DB
Jon Williams,1961-06-01,1,1984,1984,RB
Kevin Williams,1961-11-28,3,1985,1988,DB
Michael Williams,1961-07-16,3,1983,1987,RB
Perry Williams,1961-05-12,10,1984,1993,DB
Vaughn Williams,1961-12-14,1,1984,1984,DB
Don Wilson,1961-07-21,2,1984,1985,DB
Stanley Wilson,1961-08-23,4,1983,1988,RB
Gary Wimmer,1961-03-09,1,1983,1983,LB
Dave Windham,1961-03-14,1,1987,1987,LB
Leonard Wingate,1961-11-03,1,1987,1987,DT
Bryant Winn,1961-11-07,1,1987,1987,LB
Dennis Woodberry,1961-04-22,3,1986,1988,DB
Ray Woodard,1961-08-20,1,1987,1987,DE
Scott Woolf,1961-12-26,1,1987,1987,QB
Adrian Wright,1961-10-13,1,1987,1987,RB
Alvin Wright,1961-02-05,7,1986,1992,NT-DT-DE
Randy Wright,1961-01-21,5,1984,1988,QB
Fredd Young,1961-11-14,7,1984,1990,LB
Mitchell Young,1961-07-18,1,1987,1987,DE
Renard Young,1961-07-31,1,1987,1987,DB
Steve Young,1961-10-11,15,1985,1999,QB
Luis Zendejas,1961-10-22,3,1987,1989,K
Gary Zimmerman,1961-12-13,12,1986,1997,T
Steve Ache,1962-03-16,1,1987,1987,LB
Curtis Adams,1962-04-30,4,1985,1988,RB
George Adams,1962-12-22,6,1985,1991,RB
Carl Aikens,1962-06-05,1,1987,1987,WR
Mike Akiu,1962-02-12,2,1985,1986,WR
Vince Albritton,1962-07-23,8,1984,1991,DB
Ray Alexander,1962-01-08,3,1984,1989,WR
Beau Almodobar,1962-10-25,1,1987,1987,WR
John Alt,1962-05-30,13,1984,1996,T
Sheldon Andrus,1962-10-05,2,1986,1987,DT
Tom Andrews,1962-01-11,3,1984,1987,T-C
Tyrone Anthony,1962-03-03,2,1984,1985,RB
David Archer,1962-02-15,6,1984,1989,QB
Jimmy Armstrong,1962-06-18,1,1987,1987,DB
Jim Auer,1962-01-04,1,1987,1987,DE
Joe Azelby,1962-03-05,1,1984,1984,LB
Rick Badanjek,1962-04-25,3,1986,1988,RB
Carl Banks,1962-08-29,12,1984,1995,LB
Fred Banks,1962-05-26,8,1985,1993,WR
Rod Barksdale,1962-09-08,2,1986,1987,WR
Lew Barnes,1962-12-27,3,1986,1989,WR
Martin Bayless,1962-10-11,13,1984,1996,DB
Bobby Bell,1962-02-07,2,1984,1987,LB
Greg Bell,1962-08-01,7,1984,1990,RB
Rodney Bellinger,1962-06-04,3,1984,1986,DB
Jesse Bendross,1962-07-19,3,1984,1987,WR
Ben Bennett,1962-05-05,1,1987,1987,QB
Dean Biasucci,1962-07-25,11,1984,1995,K
Duane Bickett,1962-12-01,12,1985,1996,LB
James Black,1962-04-03,1,1984,1984,RB
Mel Black,1962-02-02,2,1986,1987,LB
Brian Blados,1962-01-11,9,1984,1992,T-G
Dennis Bligen,1962-03-03,4,1984,1987,RB
Gary Bolden,1962-02-13,1,1987,1987,DT
Steve Bono,1962-05-11,14,1985,1999,QB
Greg Boone,1962-01-08,1,1987,1987,RB
John Bostic,1962-10-06,3,1985,1987,DB
Ken Bowen,1962-11-15,1,1987,1987,LB
Kevin Bowman,1962-02-23,1,1987,1987,WR
Mark Boyer,1962-09-16,8,1985,1992,TE-RB-WR
Jim Boyle,1962-07-27,2,1987,1988,T
Don Bracken,1962-02-16,8,1985,1993,P
Ed Brady,1962-06-17,12,1984,1995,LB
Don Bramlett,1962-10-05,1,1987,1987,DT
Reggie Branch,1962-10-22,5,1985,1989,RB
Brian Brennan,1962-02-15,9,1984,1992,WR
Chris Brewer,1962-01-23,2,1984,1987,RB
Tom Briehl,1962-09-08,2,1985,1987,LB
Bubby Brister,1962-08-15,14,1986,2000,QB
Bob Brotzki,1962-12-24,3,1986,1988,T
Walter Broughton,1962-10-20,3,1986,1988,WR
Arnold Brown,1962-08-27,2,1985,1987,DB
Chris Brown,1962-04-11,2,1984,1985,DB
Eddie Brown,1962-12-17,7,1985,1991,WR
Jim Browne,1962-03-16,1,1987,1987,RB
Keith Browner,1962-01-24,5,1984,1988,LB
Ray Brown,1962-12-12,19,1986,2005,G-T
Rufus Brown,1962-05-19,1,1987,1987,G
Rick Bryan,1962-03-20,9,1984,1993,DE-DT-NT-LB
Tim Bryant,1962-05-05,1,1987,1987,LB
Charlie Burgess,1962-12-29,1,1987,1987,LB
Chris Burkett,1962-08-21,9,1985,1993,WR
Victor Burnett,1962-10-05,1,1987,1987,DE
Derrick Burroughs,1962-05-18,5,1985,1989,DB
Curtis Burrow,1962-12-11,1,1988,1988,K
Mike Busch,1962-02-08,1,1987,1987,QB
Barney Bussey,1962-05-20,10,1986,1995,DB-LB
Kevin Butler,1962-07-24,13,1985,1997,K
Earnest Byner,1962-09-15,14,1984,1997,RB
Boris Byrd,1962-04-15,1,1987,1987,DB
Richard Byrd,1962-03-20,5,1985,1989,DE-NT
Patrick Cain,1962-10-01,1,1987,1987,C-G
Arnold Campbell,1962-11-13,1,1987,1987,DE
Scott Campbell,1962-04-15,6,1984,1990,QB
Mark Cannon,1962-06-14,7,1984,1991,C
Roger Caron,1962-06-03,2,1985,1986,T
Alphonso Carreker,1962-05-25,7,1984,1991,DE
Gregg Carr,1962-03-31,4,1985,1988,ROLB
Joe Carter,1962-06-23,3,1984,1986,RB
Russell Carter,1962-02-10,6,1984,1989,DB
Steve Carter,1962-09-12,1,1987,1987,WR
Scott Case,1962-05-17,12,1984,1995,DB
Mark Catano,1962-01-26,3,1984,1986,NT
Mike Caterbone,1962-02-17,1,1987,1987,WR
Mike Charles,1962-09-23,9,1983,1991,NT-DE-DT
Ricky Chatman,1962-01-04,1,1987,1987,LB
John Chesley,1962-07-02,1,1984,1984,TE
Ray Childress,1962-10-20,12,1985,1996,DT-DE
Greg Christy,1962-04-29,1,1985,1985,T
Geep Chryst,1962-06-25,NA,NA,NA,Coach
Chuck Clanton,1962-07-15,1,1985,1985,DB
Gary Clark,1962-05-01,11,1985,1995,WR
Randy Clark,1962-02-18,1,1984,1984,DB
Steve Clark,1962-12-14,1,1987,1987,DB
Kyle Clifton,1962-08-23,13,1984,1996,LB
Charles Clinton,1962-01-29,1,1987,1987,DB
Dan Coleman,1962-08-14,1,1987,1987,DE
Leonard Coleman,1962-01-30,5,1985,1989,DB
Bruce Collie,1962-06-27,7,1985,1991,G-T
Clarence Collins,1962-02-01,1,1987,1987,WR
Ray Conlin,1962-06-07,1,1987,1987,DT
Kelly Cook,1962-08-20,1,1987,1987,RB
Rayford Cooks,1962-08-25,1,1987,1987,DE
Evan Cooper,1962-06-28,6,1984,1989,DB
Julio Cortes,1962-08-13,1,1987,1987,LB
Jaime Covington,1962-12-12,1,1987,1987,RB
John Cowne,1962-05-23,1,1987,1987,C
Tom Cox,1962-12-04,1,1987,1987,DB
Tim Crawford,1962-12-17,1,1987,1987,LB
Jeffery Dale,1962-10-06,3,1985,1988,DB
Ron Davenport,1962-12-22,5,1985,1989,RB
Jerome Davis,1962-02-27,1,1987,1987,NT
Kenneth Davis,1962-04-16,9,1986,1994,RB
Lee Davis,1962-12-18,2,1985,1987,DB
Preston Davis,1962-03-10,3,1984,1986,DB
Stan David,1962-02-17,1,1984,1984,LB
Tony Degrate,1962-04-25,1,1985,1985,NT
Al Del Greco,1962-03-02,17,1984,2000,K
Steve DeOssie,1962-11-22,12,1984,1995,LILB
Dan DeRose,1962-01-25,1,1987,1987,LB
Charlie Dickey,1962-12-31,1,1987,1987,G
Jerry Diorio,1962-01-11,1,1987,1987,TE
Dwayne Dixon,1962-08-02,2,1984,1987,WR
Kirk Dodge,1962-06-04,3,1984,1987,LB
Tony Dollinger,1962-10-18,1,1987,1987,RB
Jeff Donaldson,1962-04-19,10,1984,1993,DB
Rick Donnelly,1962-05-17,6,1985,1991,P
Dale Dorning,1962-02-07,1,1987,1987,DE
Dwight Drane,1962-05-06,6,1986,1991,DB
Terry Echols,1962-01-10,1,1984,1984,LB
Dave Edwards,1962-03-31,3,1985,1987,DB
John Eisenhooth,1962-03-03,1,1987,1987,NT
Rich Erenberg,1962-04-17,3,1984,1986,RB
Dave Etherly,1962-12-22,1,1987,1987,DB
Ron Faurot,1962-01-27,2,1984,1985,DE-DT
Ron Fazio,1962-06-05,1,1987,1987,TE
Todd Feldman,1962-08-07,1,1987,1987,WR
Perry Fewell,1962-09-07,NA,NA,NA,Coach
Jitter Fields,1962-08-16,2,1984,1987,DB
Simon Fletcher,1962-02-18,11,1985,1995,LB-DE
Doug Flutie,1962-10-23,12,1986,2005,QB
Tom Flynn,1962-03-24,5,1984,1988,DB
Todd Fowler,1962-06-09,4,1985,1988,TE
Todd Frain,1962-01-31,2,1986,1987,TE
Bill Fralic,1962-10-31,9,1985,1993,G-T
John Frank,1962-04-17,5,1984,1988,TE
Phil Freeman,1962-12-09,3,1985,1987,WR
William Frizzell,1962-09-08,10,1984,1993,DB
Irving Fryar,1962-09-28,17,1984,2000,WR
Jeff Fuller,1962-08-08,6,1984,1989,DB-LB
William Fuller,1962-03-08,13,1986,1998,DE
Hal Garner,1962-01-18,5,1985,1991,LB
Scott Garnett,1962-12-03,3,1984,1987,NT-DE
Curtis Garrett,1962-06-09,1,1987,1987,DE
Shaun Gayle,1962-03-08,12,1984,1995,DB
Stan Gelbaugh,1962-12-04,6,1989,1996,QB
Antonio Gibson,1962-07-05,5,1986,1992,DB
Freddie Gilbert,1962-04-08,4,1986,1989,DE
Owen Gill,1962-02-19,3,1985,1987,RB
Scoop Gillespie,1962-02-26,1,1984,1984,RB
Jim Gilmore,1962-12-19,2,1986,1987,T-G
Kerry Glenn,1962-01-03,7,1985,1992,DB
Mike Golic,1962-12-12,8,1986,1993,DT-NT-DE
Conrad Goode,1962-01-19,3,1984,1987,T-G-C
John Goode,1962-11-05,2,1984,1985,TE
Kelly Goodburn,1962-04-14,7,1987,1993,P
Preston Gothard,1962-02-23,4,1985,1988,TE
Marsharne Graves,1962-07-08,2,1984,1987,T
Jerry Gray,1962-12-16,9,1985,1993,DB/Coach
Paul Gray,1962-06-20,1,1987,1987,LB
Kevin Greene,1962-07-31,15,1985,1999,LB-DE
Tiger Greene,1962-02-15,6,1985,1990,DB
Leonard Griffin,1962-09-22,8,1986,1993,DE-NT
Billy Griggs,1962-08-04,5,1985,1989,TE
John Grimsley,1962-02-25,9,1984,1993,LB
Mike Guendling,1962-06-18,1,1985,1985,LB
John Guzik,1962-09-25,1,1987,1987,NT-DE
Nick Haden,1962-11-07,1,1986,1986,G-C
Mike Haight,1962-10-06,7,1986,1992,G-T
Mike Hamby,1962-11-12,1,1986,1986,DE
Harry Hamilton,1962-11-29,8,1984,1991,DB
Lorenzo Hampton,1962-03-12,5,1985,1989,RB
Kevin Hancock,1962-01-06,1,1987,1987,LB
James Harbour,1962-11-10,1,1986,1986,WR
John Harbaugh,1962-09-23,NA,NA,NA,Coach
Steve Harris,1962-12-12,1,1987,1987,RB
Steve Hathaway,1962-04-26,1,1984,1984,LB
Jonathan Hayes,1962-08-11,12,1985,1996,TE
Dave Heffernan,1962-10-28,1,1987,1987,G
Dale Hellestrae,1962-07-11,15,1985,2001,T-G-C
Ron Heller,1962-08-25,12,1984,1995,T
John Hendy,1962-10-09,1,1985,1985,DB
Joel Hilgenberg,1962-07-10,10,1984,1993,C-G
Rusty Hilger,1962-05-09,5,1985,1991,QB
Ira Hillary,1962-11-13,4,1987,1990,WR
Steve Hirsch,1962-05-18,1,1987,1987,DB
Terry Hoage,1962-04-11,12,1984,1996,DB
Liffort Hobley,1962-05-12,7,1985,1993,DB
Marc Hogan,1962-04-21,1,1987,1987,DB
Scott Holman,1962-09-27,2,1986,1987,WR
Issiac Holt,1962-10-04,8,1985,1992,DB
Pierce Holt,1962-01-01,8,1988,1995,DE-DT
Winford Hood,1962-03-29,5,1984,1988,G-T
Ethan Horton,1962-12-19,8,1985,1994,TE-RB
Walt Housman,1962-10-13,1,1987,1987,T-G
Jim Huddleston,1962-09-22,1,1987,1987,G-T
Gordon Hudson,1962-06-22,1,1986,1986,TE
Stefan Humphries,1962-01-20,5,1984,1988,G
Tommy Humphrey,1962-12-16,1,1987,1987,G-T
Daniel Hunter,1962-09-01,3,1985,1987,DB
